name,developer,price
S.T.A.L.K.E.R.: Shadow of Chernobyl,GSC Game World,1999
Full Spectrum Warrior,Pandemic Studios,249
Full Spectrum Warrior: Ten Hammers,Pandemic Studios,249
Company of Heroes - Legacy Edition,Relic Entertainment,1999
"Warhammer 40,000: Dawn of War - Game of the Year Edition",Relic Entertainment,1299
"Warhammer 40,000: Dawn of War - Dark Crusade",Relic Entertainment,1299
Total War: MEDIEVAL II â€“ Definitive Edition,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)",2499
Condemned: Criminal Origins,Monolith,1495
Rome: Total War - Collection,CREATIVE ASSEMBLY,0
Rome: Total War - Alexander,The Creative Assembly,0
Medieval II: Total War Kingdoms,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)",2499
Heroes of Annihilated Empires,GSC Game World,1499
Cossacks: Back to War,GSC Game World,499
Cossacks: Art of War,GSC Game World,499
Cossacks: European Wars,GSC Game World,499
Cossacks II: Battle for Europe,GSC Game World,499
Zen of Sudoku,Unknown Worlds Entertainment,0
Natural Selection 2,Unknown Worlds Entertainment,999
STAR WARS Republic Commando,LucasArts,999
Indiana Jones and the Fate of Atlantis,LucasArts,599
STAR WARS Jedi Knight - Jedi Academy,Raven Software,999
STAR WARS Jedi Knight II - Jedi Outcast,Raven Software,999
The Dig,LucasArts,599
"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,999
Thrillville: Off the Rails,Frontier,999
Armed and Dangerous,Planet Moon Studios,599
Shank,Klei Entertainment,999
Ghost Master,Sick Puppies,499
Vegas: Make It Big,Deepred,499
FlatOut,Bugbear Entertainment,749
Making History: The Calm & the Storm,Muzzy Lane,99
Ducati World Championship,Artematica Entertainment,499
Dreamfall: The Longest Journey,Funcom,1999
The Longest Journey,Funcom,999
Bloodline Champions,Stunlock Studios,0
Joint Task Force,Most Wanted Entertainment,799
Nexus - The Jupiter Incident,Mithis Games,999
Lost Planet: Extreme Condition,"CAPCOM Co., Ltd.",1499
Devil May Cry 3 Special Edition,"CAPCOM Co., Ltd.",1999
Bullet Candy,R C Knight,399
Commandos: Behind Enemy Lines,Pyro Studios,249
Commandos: Beyond the Call of Duty,Pyro Studios,249
Commandos 2: Men of Courage,Pyro Studios,249
Commandos 3: Destination Berlin,Pyro Studios,249
Hitman 2: Silent Assassin,Io-Interactive A/S,899
Hitman: Blood Money,Io-Interactive A/S,999
Battlestations: Midway,Eidos Interactive,699
Just Cause,Avalanche Studios,699
Hitman: Codename 47,IO Interactive A/S,799
Deus Ex: Game of the Year Edition,Ion Storm,699
Deus Ex: Invisible War,Ion Storm,699
Thief: Deadly Shadows,Ion Storm,899
Tomb Raider: Legend,Crystal Dynamics,699
Project: Snowblind,Crystal Dynamics,599
Rogue Trooper,Rebellion,999
Jade Empire: Special Edition,BioWare,374
Trackmania United Forever,Nadeo,2999
"Runaway, A Road Adventure",Pendulo Studios,499
"Runaway, The Dream of The Turtle",Pendulo Studios,499
Loki,Cyanide Studios,999
Azada,Big Fish Games,999
X-Blades,Gaijin Entertainment,999
Two Worlds II HD,Reality Pump Studios,1999
Two Worlds II Castle Defense,Reality Pump Studios,999
Sid Meier's Railroads!,"Firaxis Games, Feral Interactive (Mac)",999
Railroad Tycoon 3,PopTop,999
Railroad Tycoon II Platinum,PopTop,499
X-COM: Terror From the Deep,"MicroProse Software, Inc",499
X-COM: Apocalypse,"MicroProse Software, Inc",499
BioShock,"2K Boston, 2K Australia",1999
X-COM: Interceptor,"MicroProse Software, Inc",499
X-COM: UFO Defense,"MicroProse Software, Inc",499
X-COM: Enforcer,"MicroProse Software, Inc",499
Stubbs the Zombie in Rebel Without a Pulse,Aspyr,1999
Men of War,Best Way,499
Death Track: Resurrection,Sky Fallen,299
NecroVision,The Farm 51,499
Call of Duty 4: Modern Warfare,Infinity Ward,1999
Tomb Raider: Anniversary,Crystal Dynamics,899
Championship Manager 2007,The Unknown Entity,0
Championship Manager 2008,The Unknown Entity,0
Kane and Lynch: Dead Men,IO Interactive,0
Conflict: Denied Ops,Pivotal Games,599
Tomb Raider: Underworld,Crystal Dynamics,899
Battlestations Pacific,Eidos Studio Hungary,0
Just Cause 2,Avalanche Studios,1499
Telltale Texas Hold â€˜Em,Telltale,99
Strong Bad's Cool Game for Attractive People: Season 1,Telltale,1499
Geometry Wars: Retro Evolved,Bizarre Creations,399
EVE Online,CCP,0
RACE 07,SimBin,399
RACE On,SimBin,799
GTR 2 FIA GT Racing Game,SimBin Studios AB,799
Civilization IV: Beyond the Sword,Firaxis Games,999
BioShock 2,"2K Marin, 2K China, Digital Extremes, 2K Australia",1999
BioShock Infinite,"Irrational Games, Virtual Programming (Linux)",2999
Freedom Force,Irrational Games,499
Freedom Force vs. the Third Reich,Irrational Games,499
Sid Meier's Civilization V,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)",2999
Axel & Pixel,Silver Wish Games,499
Borderlands Game of the Year,Gearbox Software,2999
Spear of Destiny,id Software,299
Return to Castle Wolfenstein,Gray Matter Studios,499
DOOM 3,id Software,499
HeXen II,Raven Software,499
Master Levels for Doom II,id Software,1499
Commander Keen,id Software,499
RAGE,id Software,999
"Warhammer 40,000: Dawn of War â€“ Winter Assault",Relic Entertainment,1299
Company of Heroes: Opposing Fronts,Relic Entertainment,1999
Supreme Commander,Gas Powered Games,1299
Supreme Commander: Forged Alliance,Gas Powered Games,1299
"Warhammer 40,000: Dawn of War - Soulstorm",Relic Entertainment,1299
Frontlines: Fuel of War,Kaos Studios,1999
Saints Row 2,Volition,999
Gish,"Cryptic Sea, Edmund McMillen",999
Desperados 2: Cooper's Revenge,Spellbound,999
Tycoon City: New York,The Unknown Entity,999
Act of War: High Treason,Eugen Systems,299
Death to Spies,Haggard Games,499
Codename: Panzers - Cold War,"InnoGlow, Stormregion, THQ Nordic",1499
Champions Online,Cryptic Studios,0
Star Trek Online,Cryptic Studios,0
Blade Kitten,Krome Studios,299
Haunted House,ImagineEngline,599
Star Raiders,Incinerator Studios,999
The UnderGarden,Artech Studios,699
Call of Duty: World at War,Treyarch,1999
King's Quest Collection,Sierra,1339
Space Quest Collection,Sierra,1999
Aces of the Galaxy,Artech Studios,999
TimeShift,Saber Interactive,1999
3D Ultra Minigolf Adventures,Wanako Games,999
Prototype,Radical Entertainment,1999
Call of Duty: Modern Warfare 2,Infinity Ward,1999
Postal III,Trashmasters,1199
Dead Mountaineer's Hotel,Electronic Paradise,799
A Stroke of Fate: Operation Valkyrie,SPLine,699
PT Boats: Knights of the Sea,Studio4,699
PT Boats: South Gambit,studio4,699
Disciples III: Reincarnation,Akella,999
The Club,Bizarre Creations,1499
Total War: EMPIRE â€“ Definitive Edition,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)",2499
Beijing 2008 - The Official Video Game of the Olympic Games,Eurocom,0
Aliens vs. Predator,Rebellion,1499
TrackMania Nations Forever,Nadeo,0
Sherlock Holmes - Nemesis,Frogwares,999
Dracula: Origin,Frogwares,999
Sherlock Holmes: The Mystery of the Mummy,Frogwares,0
Sherlock Holmes: The Awakened - Remastered Edition,Frogwares,999
Sherlock Holmes: The Silver Earring,Frogwares,999
Sherlock Holmes: The Mystery of the Persian Carpet,Frogwares,999
Sherlock Holmes versus Jack the Ripper,Frogwares,999
Shadowgrounds Survivor,Frozenbyte,999
Gumboy Tournament,"CINEMAX, s.r.o.",299
Space Trader: Merchant Marine,Meridian4,499
Pacific Storm,"Buka Entertainment, Lesta Studio",799
Pacific Storm Allies,Lesta Studio,799
Penguins Arena: Sedna's World,Frogames,599
Larva Mortus,Meridian4,499
Chains,2dengine,499
Nikopol: Secrets of the Immortals,White Birds,499
Crash Time 2,The Unknown Entity,499
Overlord,"Triumph Studios, Virtual Programming",124
Soldiers: Heroes of World War II,Best Way,499
Second Sight,Free Radical Design,999
Maelstrom: The Battle for Earth Begins,KDV Games,99
Hospital Tycoon,Deep Red Limited,124
Dragon Nest,Eyedentity Games Inc.,0
Manhunt,Rockstar North,999
Max Payne,Remedy Entertainment,999
Max Payne 2: The Fall of Max Payne,Remedy Entertainment,1499
Grand Theft Auto,Rockstar North,0
Grand Theft Auto 2,Rockstar North,0
Bully: Scholarship Edition,Rockstar New England,1499
Grand Theft Auto IV: The Complete Edition,"Rockstar North, Rockstar Toronto",1999
Grand Theft Auto: Episodes from Liberty City,Rockstar North / Toronto,0
Culpa Innata,Momentum Digital Media Technologies,199
Sacred Gold,Studio II,249
Darkstar One,Ascaron Entertainment ltd.,999
Jack Keane,Deck13,999
FlatOut: Ultimate Carnage,Bugbear Entertainment,1999
Exodus from the Earth ,Parallax Arts Studio,299
Perimeter 2: New Earth,KDV Games,1499
SlamIt Pinball Big Score,Technetium Games,499
Ankh 2: Heart of Osiris ,Deck 13,499
Ankh 3: Battle of the Gods,Deck 13,999
BC Kings,Mascot Entertainment,499
Port Royale 2,Ascaron Entertainment ltd.,499
9th Company: Roots Of Terror,"Noviy Disk, Lesta Studios Inc",199
PuzzleQuest: Challenge of the Warlords,Infinite Interactive,999
Prison Tycoon 3: Lockdown,"Gamebryo, Virtual Playground",999
18 Wheels of Steel: American Long Haul,SCS Software,999
Hunting Unlimited 2008,SCS Software,999
Mahjongg Investigations: Under Suspicion,Zemnott,999
Ride! Carnival Tycoon,Gabriel Entertainment,999
Hot Dish,Zemnott,999
Dr. Daisy Pet Vet,Zemnott,999
Sprint Cars Road to Knoxville,BigAnt Studios,999
Midnight Outlaw: 6 Hours to SunUp,"Merscom, Babylon",999
Drakensang,Radon Labs,999
Fetch It Again,dtp â€“ young entertainment Gmbh &amp; Co. KG,699
Miss Popularity,dtp â€“ young entertainment Gmbh &amp; Co. KG,699
Mission Runway,Virtual Playground,999
Hunting Unlimited 2010,SCS Software,999
Overlord: Raising Hell,"Triumph Studios, Virtual Programming",249
Rise of the Argonauts,Liquid Entertainment,249
Damnation,Blue Omega Entertainment,249
Overlord II,"Triumph Studios, Virtual Programming",249
Operation Flashpoint: Dragon Rising,Codemasters,249
AudioSurf,Dylan Fitterer,999
Ninja Reflex: Steamworks Edition,Sanzaru Games,499
Unreal 2: The Awakening,"Epic Games, Inc.",1499
Unreal Tournament 3 Black,"Epic Games, Inc.",1999
Unreal Tournament 2004: Editor's Choice Edition,"Epic Games, Inc.",1499
Unreal Tournament: Game of the Year Edition,"Epic Games, Inc.",999
Unreal Gold,"Epic Games, Inc.",999
Prince of Persia: Warrior Within,Ubisoft,999
Far Cry,Crytek Studios,299
Prince of Persia: The Two Thrones,Ubisoft Montreal,999
Tom Clancy's Rainbow Six Vegas,Ubisoft Montreal,999
Tom Clancy's Splinter Cell,Ubisoft,999
Tom Clancy's Splinter Cell Chaos Theory,Ubisoft Montreal,999
Tom Clancy's Splinter Cell Double Agent,Ubisoft Montreal,999
Prince of Persia: The Sands of Time,Kudosoft,999
Tom Clancy's Ghost Recon Desert Siege,Red Storm Entertainment,499
Tom Clancy's Ghost Recon Island Thunder,Red Storm Entertainment,499
Tom Clancy's Rainbow Six Lockdown,Red Storm Entertainment,999
Rayman Raving Rabbids,"Ubisoft Bulgaria, Ubisoft Montpellier",999
Assassin's Creed: Director's Cut Edition,Ubisoft Montreal,1999
Tom Clancy's Rainbow Six Vegas 2,Ubisoft Montreal,999
Beyond Good and Evil,Ubisoft,999
Petz Horsez 2,Ubisoft,999
Heroes of Might & Magic V,Nival,999
Brothers in Arms: Road to Hill 30,Gearbox Software,999
Silent Hunter: Wolves of the Pacific,Ubisoft Romania,999
Silent Hunter III,Ubisoft,999
Silent Hunter: Wolves of the Pacific U-Boat Missions,Ubisoft Romania,999
Cold Fear,Darkworks,999
Tom Clancy's Ghost Recon,Red Storm Entertainment,999
IL-2 Sturmovik: 1946,1C: Maddox Games,999
Brain Spa,Ubisoft,999
Heroes of Might & Magic V: Tribes of the East,Nival,999
Heroes of Might & Magic V: Hammers of Fate,Nival,999
Brothers in Arms: Hell's Highway,Gearbox Software,999
Harvest: Massive Encounter,Oxeye Game Studio,799
The Wonderful End of the World,"Dejobaan Games, LLC",999
AaAaAA!!! - A Reckless Disregard for Gravity,"Dejobaan Games, LLC",999
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,"Dejobaan Games, LLC, Owlchemy Labs",999
"Warhammer 40,000: Dawn of War II","Relic Entertainment, Feral Interactive (Mac/Linux)",1999
Oddworld: Abe's Oddysee,Oddworld Inhabitants,299
Oddworld: Abe's Exoddus,Oddworld Inhabitants,299
Oddworld: Munch's Oddysee,Oddworld Inhabitants,499
Oddworld: Stranger's Wrath HD,Oddworld Inhabitants,999
Planet Busters,Slam,999
7 Wonders II,MumboJumbo,999
Luxor Amun Rising,MumboJumbo,999
Luxor 2,MumboJumbo,999
Luxor 3,MumboJumbo,999
Little Farm,MumboJumbo,999
Luxor,MumboJumbo,999
Discovery! A Seek and Find Adventure,MumboJumbo,999
Samantha Swift and the Hidden Roses of Athena,MumboJumbo,999
7 Wonders: Treasures of Seven,MumboJumbo,999
Luxor: Quest for the Afterlife ,MumboJumbo,999
Samantha Swift and the Golden Touch,MumboJumbo,999
Virtual Villagers: The Lost Children,Last Day of Work,999
Plant Tycoon,Last Day of Work,999
Fish Tycoon,Last Day of Work,999
Virtual Villagers - The Secret City,Last Day of Work,999
Virtual Families,Last Day of Work,999
Everyday Shooter,Queasy Games,999
F.E.A.R. 2: Project Origin,Monolith,1499
